,date,place,rate,description,time,link
0,9.1.2023 (Po),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení nonfood vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 16:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370344
1,11.1.2023 (St),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení drogérie vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00 alebo 12:00 - 20:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 20:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370343
2,31.12.2022 (So),Rovinka,"6,90 € (hod.)vrátane príplatkov","Pokladník, pokladníčka v obchodnom reťazci",od 07:00 do 17:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-drogeria-studentsky-servis-spol-s-r-o-370350
3,12.1.2023 (Št),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení nonfood vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 16:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370342
4,11.1.2023 (St),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení nonfood vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 16:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-drogeria-studentsky-servis-spol-s-r-o-370349
5,10.1.2023 (Ut),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení nonfood vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 16:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370341
6,10.1.2023 (Ut),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení drogérie vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00 alebo 12:00 - 20:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 20:00,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-drogeria-studentsky-servis-spol-s-r-o-370348
7,9.1.2023 (Po),Žilina,"6,00 € (hod.)",Počítanie tovaru a položiek na oddelení drogérie vo veľkoobchode METRO. Práca vhodná pre mužov. Zmeny 8:00 - 16:00 alebo 12:00 - 20:00. Potrebný preukaz na prácu s potravinami,od 08:00 do 20:00,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370339
8,31.12.2022 (So),Bratislava - Ružinov,"6,10 € (hod.)vrátane príplatkov",Pekár na oddelení lahôdok v obchodnom reťazci,od 07:00 do 17:00,https://www.brigada.sk/brigady-na-slovensku/pekar-na-oddeleni-lahodok-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370338
9,31.12.2022 (So),Bratislava - Ružinov,"6,10 € (hod.)vrátane príplatkov","Lahôdky, ich dokladanie v obchodnom reťazci",od 06:00 do 16:00,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370336
