,job_link
895,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370344
896,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370343
897,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-drogeria-studentsky-servis-spol-s-r-o-370350
898,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370342
899,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-drogeria-studentsky-servis-spol-s-r-o-370349
900,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-nonfood-studentsky-servis-spol-s-r-o-370341
901,https://www.brigada.sk/brigady-na-slovensku/inventura-vo-velkoobchode-drogeria-studentsky-servis-spol-s-r-o-370348
902,https://www.brigada.sk/brigady-na-slovensku/pokladnik-pokladnicka-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370339
903,https://www.brigada.sk/brigady-na-slovensku/pekar-na-oddeleni-lahodok-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370338
904,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370336
905,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370334
906,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370335
907,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370337
908,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370333
909,https://www.brigada.sk/brigady-na-slovensku/lahodky-ich-dokladanie-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370332
910,https://www.brigada.sk/brigady-na-slovensku/pekar-na-oddeleni-lahodok-v-obchodnom-retazci-p-j-servis-holding-s-r-o-370328
